id,Unknown,Straight_and_Level,Straight_and_Grade,Straight_at_Hill_Crest,Curve_and_Level,Curve_and_Grade,Curve_at_Hill_Crest
Irvington,6,23,18,4,4,12,4
Elmira,36,342,35,3,12,5,5
Dewitt,30,571,99,8,106,37,4
Fishkill,55,330,78,8,47,39,2
Hanover,6,80,24,3,12,8,1
Tonawanda,105,709,58,7,71,50,6
Greece,57,1103,74,12,79,25,
Kirkwood,7,160,50,1,24,19,
Middleburg,7,19,13,2,5,5,1
Salina,22,497,57,8,38,31,1
New Baltimore,3,71,13,1,12,22,1
Pittsford,38,352,70,8,31,13,1
East Fishkill,24,337,114,12,61,71,6
Troy,79,387,140,48,18,24,1
Brighton,37,974,140,17,63,79,2
Tuxedo Park,2,,,,,,1
Smithtown,108,1491,107,21,154,72,18
Henrietta,60,719,76,14,25,9,
Geneseo,12,171,66,4,12,13,
Long Beach,25,495,3,1,,,
Laurel Hollow,1,2,1,1,2,3,1
Wallkill,32,771,164,24,65,59,8
Batavia,16,537,69,5,31,3,
Port Chester,19,392,108,5,18,14,1
Stockton,2,23,8,2,1,4,
Litchfield,1,11,6,1,4,4,
Riverhead,34,904,44,8,86,28,4
Niagara Falls,44,910,57,8,29,12,1
Java,1,29,15,3,8,8,2
Orchard Park,33,465,105,9,33,27,1
Plattsburg,23,680,79,15,39,19,1
Lackawanna,18,158,12,4,3,2,
Southold,17,438,12,3,35,11,2
Monroe,22,280,71,10,24,26,5
Mount Vernon,103,209,56,9,34,37,
Glenville,10,272,58,5,23,34,4
Johnson City,20,187,32,4,23,23,
Gates,26,683,54,11,54,40,
Rockville Centre,50,318,9,,14,9,
West Sparta,,34,13,,3,4,
Arcadia,7,72,19,4,16,16,1
Cuba,5,53,9,4,12,6,3
Crawford,8,77,32,4,11,20,3
Pleasant Valley,5,136,46,2,33,41,2
Rushford,2,7,7,1,6,8,
Harrietstown,1,25,15,4,12,23,3
Oneonta,16,217,42,4,17,25,4
Liberty,21,123,62,15,25,29,2
Oneida,9,172,32,8,10,2,1
Corning,11,198,45,2,25,37,3
Freeport,99,542,26,3,47,14,2
Evans,10,201,46,3,17,10,
Cobleskill,9,113,42,4,8,8,1
Maine,8,58,39,3,20,17,
Islip,315,5064,237,68,362,109,18
Saratoga Springs,31,792,119,7,43,23,
Whitestown,4,81,47,2,11,12,
Farmington,10,184,14,5,7,11,
Potsdam,12,203,89,10,18,9,1
Allegany,8,205,24,7,43,15,1
Manlius,22,312,114,14,25,19,4
Summerhill,1,7,9,1,1,8,
Geneva,28,112,33,6,4,4,
New Paltz,21,297,95,12,18,22,1
North Hills,4,432,43,16,56,27,1
Amityville,6,264,2,2,24,4,
Riga,5,91,6,3,10,2,
North Salem,9,109,24,5,29,19,3
Marshall,4,29,7,2,6,11,1
Brownville,7,43,10,1,2,4,
Ephratah,2,17,6,,3,5,1
Ischua,2,8,5,1,3,6,
Central Square,3,31,5,2,,,
Cicero,10,561,49,2,33,14,
Windsor,5,47,49,5,5,33,5
Keene,2,28,9,,4,14,3
Pelham Manor,5,92,28,6,10,4,1
Southport,5,91,10,1,15,13,1
Norwich,10,148,38,5,8,20,2
Chestnut Ridge,5,90,21,2,18,12,
Goshen,13,310,101,13,77,44,6
Triangle,1,16,11,1,9,4,
Lockport,48,581,51,8,42,8,4
Yonkers,232,980,282,58,145,189,24
Cold Spring,3,31,7,3,1,4,
Elbridge,7,93,25,2,9,9,1
Nyack,18,100,55,5,6,7,
Wright,2,3,3,,4,3,
Schodack,13,135,50,9,37,23,3
Busti,8,34,52,8,4,6,
East Hampton,38,393,28,1,43,16,6
Ramapo,12,590,209,20,49,37,3
Owasco,2,25,12,1,2,6,1
Old Westbury,12,512,37,,81,33,1
Campbell,3,78,7,,14,6,
Pomfret,6,94,23,2,11,11,
Vienna,2,59,15,4,13,6,3
Auburn,35,285,86,6,10,11,1
Brutus,1,56,19,3,9,10,4
Highland,2,14,11,1,4,4,
Hyde Park,12,279,60,12,44,33,2
Throop,2,23,9,,5,7,3
Chili,24,306,22,6,32,9,2
New Berlin,9,12,20,,7,10,
Erin,1,12,3,,6,9,1
Kent,3,77,43,2,50,47,9
Clarkson,4,72,8,1,,3,
New Hempstead,5,64,20,2,3,6,
Bethlehem,30,399,55,10,83,31,6
Lindenhurst,19,342,2,1,5,,
Richfield,,15,8,1,5,6,1
